1,12385
2,47904
3,98132
4,41334
5,10727
6,28203
7,58793
8,24101
9,26919
10,69658
11,46117
12,89927
13,43210
14,50375
15,93812
16,20294
17,56583
18,89171
19,70029
20,65030
21,77491
22,34319
23,93106
24,76957
25,32079
26,74188
27,87686
28,45831
29,26377
30,79940
31,99775
32,77823
33,22068
34,94605
35,41879
36,84067
37,14366
38,27295
39,11826
40,42206
41,47359
42,32467
43,83742
44,24765
45,20035
46,14493
47,22837
48,57145
49,54385
50,57855
51,22657
52,63029
53,81372
54,83056
55,12407
56,16119
57,87757
58,74850
59,65364
60,39790
61,37517
62,78045
63,29641
64,58604
65,18851
66,32055
67,21583
68,28327
69,18337
70,85977
71,98001
72,90610
73,21022
74,58398
75,65052
76,44595
77,15445
78,48447
79,84295
80,77985
81,16341
82,96608
83,75992
84,31223
85,90749
86,12536
87,28435
88,57833
89,95549
90,94311
91,50175
92,30427
93,95687
94,74590
95,19697
96,30613
97,92065
98,61321
99,77159
100,22166
101,41146
102,42720
103,75746
104,13712
105,89545
106,82543
107,44748
108,88561
109,24530
110,11167
111,19422
112,36611
113,32606
114,25284
115,84947
116,45349
117,63638
118,63965
119,97447
120,36500
121,18718
122,37172
123,40749
124,70624
125,35554
126,30815
127,78799
128,44396
129,35487
130,46172
131,80691
132,90668
133,78194
134,25807
135,92693
136,26254
137,85063
138,80566
139,30021
140,68604
141,39550
142,13384
143,68442
144,39008
145,59105
146,33891
147,66468
148,55915
149,50758
150,29904
151,25935
152,28949
153,78970
154,43031
155,54903
156,96462
157,71365
158,24528
159,41367
160,90621
161,11011
162,61650
163,58343
164,63955
165,20263
166,92364
167,49940
168,78829
169,18057
170,12296
171,42303
172,68848
173,42722
174,20793
175,88223
176,62863
177,17724
178,93701
179,84242
180,49799
181,33637
182,17937
183,20885
184,17945
185,41200
186,13187
187,92212
188,49386
189,82517
190,67351
191,63615
192,19629
193,67538
194,34358
195,42265
196,94946
197,54948
198,18893
199,50643
200,83572
201,59293
202,59602
